年份, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
103,6.21,9.22,7.46,6.68,9,7.28,9.57,9.31,10.29,8.82,9.94,10.75,11.49,9.42,10.73,10.39,13.64,8.45,8.46,8.37,12.37,10.88
104,6.31,9.44,7.47,6.79,9.27,7.49,9.89,9.5,10.67,9.13,10.22,11.16,12.04,9.68,11,10.52,14.11,8.63,8.48,8.42,12.9,11.22
105,6.37,9.67,7.46,6.9,9.53,7.7,10.2,9.69,10.98,9.42,10.6,11.61,12.41,10,11.27,10.73,14.4,8.81,8.46,8.67,13.03,11.05
106,6.44,9.94,7.49,7.04,9.76,7.91,10.49,9.91,11.21,9.73,10.9,11.99,12.75,10.25,11.4,10.83,14.29,9.06,8.5,8.85,13.13,9.3
107,6.55,10.25,7.51,7.22,10,8.14,10.82,10.17,11.57,10.03,11.23,12.41,13.14,10.54,11.55,11,14.42,9.28,8.59,9.15,13.39,9.7
